2026-03-24 02:12:06 - Suspensos: 1 revendedores, 2 usuários
2026-03-31 04:40:41 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:40:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:41:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:41:11 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:41:21 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:41:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:41:41 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:41:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:42:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:43:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:44:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:45:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:50:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:50:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:50:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:51:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:51:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:51:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:51:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:51:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:52:03 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:52:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:52:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:52:36 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:52:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:53:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:53:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:54:22 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:54:33 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:54:44 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:54:54 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:55:20 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:55:30 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:55:40 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:55:50 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:56:00 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:56:10 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:56:19 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:56:30 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:56:40 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:56:58 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:57:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:57:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:57:36 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:57:54 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:58:13 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:58:28 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:58:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:58:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:58:58 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:59:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:59:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 04:59:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:00:04 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:00:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:00:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:00:39 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:00:58 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:01:09 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:01:22 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:01:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:01:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:01:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:02:33 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:02:50 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:02:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:04:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:04:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:04:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:05:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:05:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:05:39 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:05:49 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:05:59 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:06:09 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:06:19 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:06:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:06:39 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:07:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:08:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:09:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:10:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:11:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:12:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:13:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:14:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:14:43 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:14:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:15:03 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:15:13 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:15:23 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:22:18 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:30:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:48:30 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:48:40 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:48:58 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:49:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:49:22 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:49:33 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:49:50 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:50:03 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:50:13 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:50:23 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:50:33 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:50:43 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:50:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:51:03 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:51:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:52:19 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:52:22 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:52:32 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:52:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:52:56 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 05:53:06 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:36:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:36:36 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:36:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:36:56 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:37:06 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:37:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:37:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 07:38:08 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:07:13 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:07:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:07:41 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:07:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:12 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:22 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:36 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:42 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:08:59 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:09 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:19 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:40 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:50 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:09:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:00 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:10 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:20 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:30 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:10:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:11:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:11:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:11:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:11:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:11:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:11:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:11:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:06 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:39 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:12:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:13:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:14:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:15:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:16:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:17:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:17:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:17:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:17:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:17:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:17:41 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:17:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:18:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:18:11 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:18:21 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:18:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:18:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:18:41 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:18:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:19:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:19:11 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:19:21 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:19:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:20:22 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:20:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:20:49 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:20:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:21:10 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:21:20 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:21:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:21:38 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:21:48 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:21:58 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:22:08 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:22:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:23:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:24:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:25:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:26:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:27:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:28:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:29:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:29:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:29:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:29:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:29:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:30:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:30:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:30:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:30:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:30:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:30:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:31:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:31:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:31:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:31:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:31:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:31:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:32:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:32:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:32:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:32:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:32:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:32:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:33:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:33:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:33:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:33:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:33:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:33:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:34:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:34:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:34:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:34:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:34:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:34:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:35:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:35:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:35:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:35:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:35:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:35:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:36:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:36:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:36:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:37:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:38:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:39:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:40:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:41:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:42:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:43:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:43:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:44:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:44:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:44:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:44:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:45:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:46:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:47:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:48:10 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:48:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:48:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:48:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:48:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:48:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:49:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:49:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:49:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:49:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:49:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:49:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:50:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:50:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:50:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:50:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:50:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:50:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:51:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:51:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:51:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:51:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:51:47 - Vencidos: 0 revendedores, 3 usuários
